Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,131.05,264.54,25.22,103.31,75.45,12.31,30.37,1.25,64.81,6.03,9.73,4.86,NA,NA,NA,22.46,60.45,1.41,173.82,0.00,0.00,134.42,765.27,0.03
2019-01-02 00:00:00,133.67,260.67,14.32,93.29,61.26,14.40,28.31,1.29,97.97,5.32,8.92,3.88,NA,NA,NA,22.93,68.67,1.35,163.11,0.00,0.00,110.88,765.07,0.02
2019-01-03 00:00:00,149.18,290.85,28.26,109.73,81.34,16.81,28.32,1.38,92.58,5.83,9.79,4.87,NA,NA,NA,23.40,69.64,1.25,178.22,0.00,0.00,123.34,765.59,0.03
2019-01-04 00:00:00,139.53,239.51,28.44,88.38,70.13,15.63,22.10,1.17,111.54,4.99,7.72,3.68,NA,NA,NA,23.47,72.60,1.63,164.77,0.00,0.00,113.95,765.14,0.04
2019-01-05 00:00:00,115.95,170.69,3.15,41.59,24.68,15.34,13.44,0.94,142.49,3.06,4.40,1.25,NA,NA,NA,23.90,71.41,1.79,145.39,0.00,0.00,124.60,763.01,0.04
2019-01-06 00:00:00,132.93,198.00,12.78,75.17,50.36,14.07,11.71,1.12,99.68,4.16,6.30,2.03,NA,NA,NA,23.53,70.65,1.61,154.36,0.00,0.00,114.32,761.09,0.04
2019-01-07 00:00:00,120.57,257.05,20.45,93.32,66.26,13.81,15.36,1.23,59.03,4.97,7.76,2.67,NA,NA,NA,23.59,67.95,1.49,181.16,0.00,0.00,119.97,758.73,0.04
2019-01-08 00:00:00,140.04,308.45,44.34,133.30,106.95,15.64,41.06,1.54,73.08,7.52,10.78,4.84,NA,NA,NA,24.01,67.34,1.18,205.05,0.00,0.00,114.49,758.43,0.01
2019-01-09 00:00:00,138.08,277.66,28.62,84.40,68.17,16.15,21.04,1.33,107.93,5.02,7.85,3.25,NA,NA,NA,23.68,74.31,1.50,156.96,0.00,0.00,93.69,759.69,0.03
2019-01-10 00:00:00,136.25,229.90,18.13,67.96,50.89,18.75,16.34,1.08,118.13,4.17,7.00,2.39,NA,NA,NA,24.02,75.42,1.85,144.36,0.00,0.00,106.61,760.27,0.06
2019-01-11 00:00:00,105.85,160.03,3.23,32.44,19.89,14.79,11.78,0.84,113.98,2.58,3.94,1.09,NA,NA,NA,24.38,73.12,2.03,162.35,0.00,0.00,112.09,761.65,0.05
2019-01-12 00:00:00,120.45,206.39,19.42,60.70,47.69,13.52,18.15,1.02,89.27,3.90,6.73,2.38,NA,NA,NA,24.04,75.21,1.76,151.30,0.00,0.00,109.06,761.90,0.05
2019-01-13 00:00:00,119.88,203.13,14.76,57.45,42.55,11.46,15.43,1.02,97.24,4.51,6.96,2.51,NA,NA,NA,24.27,72.66,1.51,163.47,0.00,0.00,127.78,762.04,0.05
2019-01-14 00:00:00,205.03,312.01,22.60,86.12,64.18,16.51,38.26,1.78,82.09,6.17,8.51,3.36,NA,NA,NA,24.03,70.30,1.16,192.63,0.00,0.00,115.56,760.05,0.02
2019-01-15 00:00:00,65.00,268.10,17.27,61.26,46.63,10.86,31.95,1.16,69.68,5.59,9.04,3.86,NA,NA,NA,24.25,66.83,1.57,159.82,0.00,0.00,117.39,760.44,0.04
2019-01-16 00:00:00,NA,186.76,2.40,17.28,11.14,10.82,11.09,0.88,152.58,2.45,2.82,0.56,NA,NA,NA,24.33,75.34,2.21,158.20,0.00,0.00,103.35,760.85,0.05
2019-01-17 00:00:00,101.85,210.23,5.94,32.27,22.00,12.06,14.95,0.98,126.81,3.04,4.88,1.07,NA,NA,NA,24.23,75.85,1.59,144.62,0.00,0.00,104.18,758.89,0.04
2019-01-18 00:00:00,123.93,253.60,17.39,58.82,45.41,11.27,21.09,1.11,110.27,4.12,6.42,1.88,NA,NA,NA,24.67,75.45,1.33,181.84,0.00,0.00,120.30,759.08,0.03
2019-01-19 00:00:00,129.31,239.77,29.92,81.81,67.85,10.27,31.54,1.30,97.06,5.01,8.52,3.70,NA,NA,NA,24.86,72.90,1.33,186.63,0.00,0.00,124.33,760.79,0.03
2019-01-20 00:00:00,122.01,249.93,31.95,75.83,66.32,10.13,20.69,1.22,86.70,5.74,9.00,3.85,NA,NA,NA,24.68,71.56,1.47,195.32,0.00,0.00,130.31,761.87,0.03
2019-01-21 00:00:00,147.63,294.17,21.72,63.47,51.41,12.48,25.81,1.35,39.70,6.49,12.57,4.27,NA,NA,NA,24.27,73.27,1.26,168.69,0.00,0.00,132.37,760.78,0.03
2019-01-22 00:00:00,126.75,237.52,23.51,64.53,53.43,11.82,16.87,1.20,16.71,5.73,9.04,4.18,NA,NA,NA,24.34,72.17,1.38,168.41,0.00,0.00,136.14,760.80,0.03
2019-01-23 00:00:00,118.87,133.85,36.84,74.97,69.84,16.92,18.42,1.10,31.88,5.62,9.18,3.79,NA,NA,NA,24.26,72.22,1.55,166.59,0.00,0.00,133.28,760.19,0.04
2019-01-24 00:00:00,115.86,233.15,32.63,49.31,52.81,15.00,23.37,1.13,28.57,6.49,10.95,4.77,NA,NA,NA,24.47,74.56,1.29,173.08,0.00,0.00,101.35,760.96,0.03
2019-01-25 00:00:00,106.16,225.52,53.04,41.84,65.38,12.56,19.52,1.05,7.34,7.66,13.59,6.66,NA,NA,NA,24.30,80.66,1.01,183.46,0.00,0.00,52.61,760.05,0.02
2019-01-26 00:00:00,46.15,57.36,14.65,22.70,23.99,14.55,7.34,0.66,27.88,3.01,6.09,1.77,NA,NA,NA,25.38,75.08,1.98,127.94,0.00,0.00,123.15,759.43,0.07
2019-01-27 00:00:00,83.45,132.59,2.35,17.65,11.31,17.50,6.81,0.77,71.18,3.26,4.87,0.59,NA,NA,NA,25.25,68.85,2.42,142.86,0.00,0.00,86.92,760.51,0.08
2019-01-28 00:00:00,84.45,137.16,5.95,42.92,27.66,14.69,8.07,0.87,51.26,3.51,5.56,1.41,NA,NA,NA,24.34,59.45,2.17,176.45,0.00,0.00,40.63,761.94,0.03
2019-01-29 00:00:00,80.44,128.31,5.53,44.38,28.10,14.43,8.88,0.82,63.62,3.16,4.59,1.30,NA,NA,NA,24.98,62.48,2.08,156.09,0.00,0.00,123.26,761.03,0.04
2019-01-30 00:00:00,70.70,117.52,3.03,35.06,21.12,13.31,10.32,0.70,76.89,2.12,3.92,0.88,NA,NA,NA,24.34,61.34,2.61,144.43,0.00,0.00,109.30,762.78,0.06
2019-01-31 00:00:00,57.01,105.93,2.79,35.99,21.41,11.15,6.88,0.69,89.43,2.12,3.83,0.84,NA,NA,NA,24.27,63.47,1.92,140.94,0.00,0.00,122.76,760.49,0.08
2019-02-01 00:00:00,58.59,114.38,12.65,53.99,38.99,10.94,8.16,0.87,82.03,2.74,5.29,1.61,NA,NA,NA,24.39,64.74,1.86,167.75,0.00,0.00,136.82,760.46,0.06
