Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,104.29,167.81,10.24,41.9,30.62,4.65,11.18,1.1,18.75,2.09,4.55,0.84,,,,23.4,76.99,1.55,176.82,0.0,0.0,93.42,751.51,0.0
2024-01-02,135.08,244.83,22.31,48.3,43.83,3.13,12.16,1.24,17.78,2.72,6.66,1.51,,,,22.78,76.69,1.53,184.57,0.0,0.0,85.24,751.23,
2024-01-03,133.14,209.46,10.12,45.55,32.5,7.89,9.35,1.17,19.83,2.42,5.22,1.04,,,,22.58,78.06,1.76,185.86,0.0,0.0,74.82,750.99,
2024-01-04,98.81,170.76,10.96,44.68,32.71,9.4,10.88,1.05,19.54,2.2,6.37,0.96,,,,22.25,76.52,1.8,169.3,0.0,0.0,88.18,751.11,
2024-01-05,66.74,114.46,9.72,40.75,29.58,8.23,9.66,0.81,20.6,1.52,4.43,0.67,,,,22.7,72.26,2.17,155.67,0.0,0.0,104.4,751.17,
2024-01-06,73.74,123.27,9.7,39.48,28.94,7.0,8.43,0.86,17.56,1.75,3.76,0.54,,,,23.09,74.93,2.2,149.28,0.0,0.0,103.34,751.51,
2024-01-07,80.62,131.23,9.57,39.1,28.64,7.13,8.83,0.84,63.97,1.89,4.43,0.49,,,,23.05,78.88,2.22,148.01,0.0,0.0,98.62,751.93,
2024-01-08,104.53,170.85,8.54,34.95,25.21,7.86,11.37,0.88,38.52,2.22,4.1,0.51,,,,23.86,75.36,2.39,131.36,0.0,0.0,105.93,752.16,
2024-01-09,131.78,203.58,10.66,28.0,23.72,12.8,11.1,0.9,30.22,2.57,5.23,1.13,,,,24.56,76.72,2.11,112.74,0.0,0.0,122.43,752.53,
2024-01-10,132.62,225.16,21.61,32.75,34.99,16.41,10.43,0.98,17.55,3.33,8.46,0.9,,,,23.49,77.04,1.24,183.66,0.0,0.0,91.22,751.21,
2024-01-11,133.51,277.43,46.11,38.06,57.73,19.89,13.19,1.1,15.5,4.4,18.48,2.56,,,,24.85,73.32,0.71,178.78,0.0,0.0,79.89,751.57,
2024-01-12,108.51,204.13,20.54,31.17,33.28,18.85,10.8,0.85,21.68,2.44,8.78,1.18,,,,24.48,78.03,1.06,156.68,0.0,0.0,93.36,751.36,
2024-01-13,118.25,214.32,24.39,30.17,35.92,18.74,11.35,1.03,16.04,2.45,6.61,0.94,,,,24.34,84.13,0.97,181.58,0.0,0.0,93.11,751.25,
