Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,116.55,215.61,4.10,68.53,38.78,16.01,3.63,1.01,72.68,NA,NA,NA,NA,NA,NA,23.22,67.99,1.80,115.26,0.00,0.00,93.14,752.64,0.07
2021-01-02 00:00:00,115.47,210.34,3.76,39.55,24.05,23.47,3.94,0.96,76.36,5.27,12.65,1.33,NA,NA,NA,22.97,68.90,1.65,117.94,0.00,0.00,89.93,752.32,0.06
2021-01-03 00:00:00,110.20,199.56,5.04,50.10,30.74,22.06,5.57,0.98,62.04,4.02,7.68,1.49,NA,NA,NA,22.73,68.67,1.60,103.11,0.00,0.00,102.12,751.27,0.06
2021-01-04 00:00:00,80.61,145.88,2.50,32.56,19.37,17.10,10.88,0.76,55.64,3.43,6.51,1.26,NA,NA,NA,23.13,67.90,1.89,100.92,0.00,0.00,110.78,751.24,0.07
2021-01-05 00:00:00,80.59,162.99,3.70,39.72,24.14,16.46,15.03,0.78,35.76,12.35,30.54,2.83,NA,NA,NA,23.07,74.29,1.79,133.15,0.53,43.80,83.80,751.24,0.07
2021-01-06 00:00:00,71.92,126.66,2.99,37.69,22.45,14.68,16.81,0.84,34.79,3.38,4.32,1.33,NA,NA,NA,24.25,68.71,1.80,93.54,0.00,0.00,72.51,750.32,0.04
2021-01-07 00:00:00,64.73,131.88,7.07,25.12,18.73,11.12,15.16,0.76,30.54,3.38,5.29,1.21,NA,NA,NA,24.70,74.04,1.24,90.73,0.00,0.00,108.85,748.94,0.06
2021-01-08 00:00:00,37.57,80.08,8.15,34.15,24.79,7.83,15.72,0.54,23.13,2.66,6.96,1.67,NA,NA,NA,24.59,70.76,1.58,214.45,0.00,0.00,133.11,749.12,0.07
2021-01-09 00:00:00,48.61,93.15,6.17,37.75,25.10,9.82,15.29,0.70,25.43,2.18,4.32,1.44,NA,NA,NA,24.26,73.22,1.64,199.89,0.00,0.00,114.03,749.78,0.04
2021-01-10 00:00:00,68.93,175.94,51.47,74.88,81.19,9.98,17.31,1.40,23.20,5.39,12.60,5.22,NA,NA,NA,24.67,66.12,1.06,67.19,0.00,0.00,112.79,749.91,0.03
2021-01-11 00:00:00,101.84,259.36,57.29,94.44,96.81,17.43,16.71,1.75,30.29,4.82,13.58,5.36,NA,NA,NA,24.54,63.79,0.97,26.00,0.00,0.00,103.08,750.64,0.03
2021-01-12 00:00:00,101.04,263.30,60.06,76.64,89.60,15.03,13.96,1.45,28.14,4.34,10.81,5.37,NA,NA,NA,24.02,67.74,1.03,52.55,0.00,0.00,107.62,750.75,0.03
2021-01-13 00:00:00,129.03,261.14,49.48,80.60,83.09,30.79,18.08,2.11,25.01,7.18,14.60,5.27,NA,NA,NA,23.43,77.30,1.09,NA,0.00,0.00,99.34,750.52,0.02
2021-01-14 00:00:00,77.43,134.47,10.40,34.01,26.54,17.30,14.49,0.86,28.43,3.76,14.07,1.57,NA,NA,NA,23.77,79.12,1.37,235.67,0.00,0.00,109.73,750.30,0.04
2021-01-15 00:00:00,82.11,166.72,16.79,48.42,39.40,15.32,18.41,0.98,30.01,4.77,7.24,2.21,NA,NA,NA,23.96,76.62,1.45,NA,0.00,0.00,105.03,749.69,-0.02
2021-01-16 00:00:00,69.75,149.60,8.70,44.23,30.60,15.20,20.77,0.70,27.92,3.74,17.50,1.63,NA,NA,NA,23.67,76.92,1.68,NA,0.00,0.00,104.62,748.91,-0.03
