Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,64.72,101.79,2.82,26.59,16.44,11.42,8.10,1.14,70.51,4.74,5.79,1.17,NA,NA,NA,19.81,74.20,2.99,185.41,0.00,0.00,78.64,763.93,0.13
2020-01-02 00:00:00,50.87,91.55,3.16,30.49,18.78,11.40,8.83,1.09,59.92,4.93,8.42,1.34,NA,NA,NA,19.71,73.21,2.69,188.65,0.00,0.00,58.62,765.22,0.12
2020-01-03 00:00:00,52.59,90.53,3.23,23.28,15.01,11.74,7.55,1.08,61.80,4.92,8.84,1.09,NA,NA,NA,21.03,78.02,2.57,146.75,0.00,0.00,94.54,760.30,0.12
2020-01-04 00:00:00,21.82,48.86,3.88,21.84,14.77,10.36,9.36,0.95,44.17,4.08,7.67,0.99,NA,NA,NA,19.45,79.57,2.64,157.11,0.00,0.00,83.92,758.85,0.13
2020-01-05 00:00:00,16.00,43.07,3.03,18.27,12.19,10.24,9.04,0.84,52.64,2.90,5.02,0.65,NA,NA,NA,21.07,76.10,2.61,144.45,0.00,0.00,107.14,752.11,0.10
2020-01-06 00:00:00,49.68,89.08,2.88,22.25,14.18,12.36,9.86,0.97,64.75,3.43,5.42,0.75,NA,NA,NA,20.67,71.52,2.93,144.45,0.00,0.00,116.99,730.86,0.16
2020-01-07 00:00:00,54.98,102.78,3.09,27.94,17.37,13.14,9.75,0.94,69.00,3.77,7.20,1.15,NA,NA,NA,19.61,70.99,2.32,162.19,0.00,0.00,114.31,761.60,0.07
2020-01-08 00:00:00,49.74,92.68,3.09,27.58,17.18,12.69,8.43,0.92,70.90,3.42,7.48,1.99,NA,NA,NA,20.37,69.60,1.21,146.04,0.00,0.00,122.04,760.53,0.03
2020-01-09 00:00:00,73.62,212.97,38.90,57.72,62.33,13.43,6.95,1.25,46.15,8.72,15.87,7.41,NA,NA,NA,20.43,76.93,1.15,183.57,0.00,0.00,105.27,759.55,0.00
2020-01-10 00:00:00,49.04,87.31,2.70,23.33,14.61,10.81,8.20,1.00,56.90,3.39,7.72,1.19,NA,NA,NA,20.93,79.44,1.98,129.48,0.00,0.00,77.01,756.45,0.05
2020-01-11 00:00:00,86.75,140.22,3.04,28.00,17.37,12.99,9.64,1.19,73.87,4.78,9.10,1.29,NA,NA,NA,19.74,77.85,2.48,152.82,0.00,0.00,109.90,752.60,0.09
2020-01-12 00:00:00,73.00,125.39,2.93,32.71,19.78,11.34,10.29,1.04,83.11,3.97,7.95,1.14,NA,NA,NA,18.53,71.58,2.09,145.31,0.00,0.00,119.44,759.99,0.06
2020-01-13 00:00:00,101.65,238.44,24.37,73.72,59.03,14.68,13.18,1.47,72.20,6.85,11.83,4.30,NA,NA,NA,18.20,73.24,1.18,165.85,0.00,0.00,130.13,757.37,0.03
2020-01-14 00:00:00,169.47,297.89,35.60,77.94,70.40,21.89,18.97,2.02,45.93,9.22,15.02,7.34,NA,NA,NA,18.94,75.75,1.08,174.76,0.00,0.00,124.43,758.01,0.00
2020-01-15 00:00:00,88.61,178.43,20.34,49.70,42.97,11.43,6.87,1.24,35.10,5.63,9.57,3.28,NA,NA,NA,19.45,74.31,1.28,152.09,0.00,0.00,128.84,759.77,0.03
2020-01-16 00:00:00,71.38,97.38,3.13,31.91,19.52,11.96,10.15,1.04,75.41,4.55,7.75,4.12,NA,NA,NA,22.01,69.95,1.98,108.51,0.00,0.00,170.10,758.89,0.04
2020-01-17 00:00:00,42.12,81.65,2.82,27.17,16.68,10.47,9.98,1.05,56.14,3.21,4.19,1.02,NA,NA,NA,21.53,76.12,2.04,112.55,0.00,0.00,93.24,758.73,0.05
2020-01-18 00:00:00,43.20,83.23,4.50,25.00,16.95,10.67,7.75,1.03,45.55,3.42,4.57,0.84,NA,NA,NA,21.90,75.86,1.95,163.48,0.00,0.00,119.16,759.58,0.05
2020-01-19 00:00:00,37.89,93.19,15.40,29.96,28.45,9.64,8.78,1.04,29.61,3.80,6.34,1.58,NA,NA,NA,21.40,76.95,1.21,188.34,0.00,0.00,116.32,759.65,0.03
2020-01-20 00:00:00,28.49,64.79,3.89,24.71,16.30,9.39,4.95,0.77,47.74,3.08,5.59,1.42,NA,NA,NA,23.01,74.45,1.28,122.67,0.00,0.00,148.55,761.03,0.04
